canal_id,nombre_canal,categoria,provincia,ciudad,suscriptores,certeza,metodo_deteccion,indicadores_argentinidad,url,fecha_deteccion
UCJKjzEoy91UYS-bZLc4CLCQ,Agustín Laje Arrigoni,,,,2520000.0,100.0,manual,,https://youtube.com/channel/UCJKjzEoy91UYS-bZLc4CLCQ,2025-07-04
UCz0rrWiG04BiDlypa6Smnww,Agustín Muzzu,,,,117000.0,100.0,manual,,https://youtube.com/channel/UCz0rrWiG04BiDlypa6Smnww,2025-07-04
UCRyGJcJYqqiCByEaUhDLMsw,AHORA PLAY,,,,102000.0,100.0,manual,,https://youtube.com/channel/UCRyGJcJYqqiCByEaUhDLMsw,2025-07-04
UCr7TYJVXSe3_rVILo-F8Xhg,Aire de Santa Fe,,,,128000.0,100.0,manual,,https://youtube.com/channel/UCr7TYJVXSe3_rVILo-F8Xhg,2025-07-04
UC1g2h76H3MDS5psEm-ZgZlw,Am 1010 Onda Latina,,,,1280.0,100.0,manual,,https://youtube.com/channel/UC1g2h76H3MDS5psEm-ZgZlw,2025-07-04
UC6NVDkuzY2exMOVFw4i9oHw,América TV,,,,2610000.0,100.0,manual,,https://youtube.com/channel/UC6NVDkuzY2exMOVFw4i9oHw,2025-07-04
UCdDH12zlOV1OWlFTY0YcXmQ,Argen-Fobal,,,,46000.0,100.0,manual,,https://youtube.com/channel/UCdDH12zlOV1OWlFTY0YcXmQ,2025-07-04
UCaZABt4qNTN-4Nn75gh4pYA,Armando Naranjo - Fútbol en Línea,,,,104000.0,100.0,manual,,https://youtube.com/channel/UCaZABt4qNTN-4Nn75gh4pYA,2025-07-04
UCgLBmUFPO8JtZ1nPIBQGMlQ,AZZ,,,,586000.0,100.0,manual,,https://youtube.com/channel/UCgLBmUFPO8JtZ1nPIBQGMlQ,2025-07-04
UC6YundoLrEuBJaPp_oEPWaA,Barricada TV,,,,35700.0,100.0,manual,,https://youtube.com/channel/UC6YundoLrEuBJaPp_oEPWaA,2025-07-04
UCx4uM9c2BTrw-2N8LlwT2wg,Bigotes Online,,,,15100.0,100.0,manual,,https://youtube.com/channel/UCx4uM9c2BTrw-2N8LlwT2wg,2025-07-04
UC6pJGaMdx5Ter_8zYbLoRgA,BLENDER,,,,473000.0,100.0,manual,,https://youtube.com/channel/UC6pJGaMdx5Ter_8zYbLoRgA,2025-07-04
